,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Lube Oil Tank Temperature,Motor Current Phase A,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 2 Bearing Temperature,Pump Radial Bearing Vibration,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1
43,1300.4872295248265,325820.63722614583,328034.2175275,1744.6481139109376,76.66637503303471,151.13650860243055,0.0,0.0,4238.5322385241325,1758.7447656899303,930.6106202539064,144.30130755376737,9.04614487075243,3589.6571646682296,24.72811624937847,0.3097775560359375,226.8606822686632,99.0747412124809
44,1300.0590355984375,317117.2800378299,319293.40706737846,1753.7801048319443,69.41736514034723,149.88723614197917,0.0,0.0,4241.226462647222,1766.8594030020834,913.4178291223612,142.52174189628474,9.250051373893925,3589.1082579644094,24.76183492313368,0.2956194238274305,227.42766333453125,94.58935074413196
45,1300.0063558164932,321964.0059009375,324278.8506006771,1742.8134242847225,57.17112042044791,151.58478033796877,0.0,0.0,4242.681369026736,1756.6544224984375,934.4726168531772,140.36983382479167,9.359976046548958,3589.9065588750004,24.7082458244809,0.3114683958230902,228.06641729472224,88.02557009636111
46,1300.37891098125,316058.82094463543,320501.8333585937,1733.7125892435763,67.7499711599757,152.58194715418404,0.0,0.0,4243.303820643403,1747.037325460243,951.5189340260416,142.5013588327257,8.952418674102084,3589.965252825695,24.646166712362845,0.3281704606631944,227.43311371862845,93.30333936491492
47,1300.3415899954862,315937.7980772222,316789.0736681597,1733.177957069618,73.12729937506424,152.26486524996528,0.0,0.0,4242.624583953125,1746.4522310331597,951.1076911972224,143.43339827876736,8.965018394914061,3589.333298747396,24.657474452918404,0.3298993995442708,227.27011030138888,96.82202421293576
48,1300.6934674611111,316660.4799075694,318139.0330434896,1745.801897228299,79.95362889670659,29.580076257430555,0.0,0.0,4252.636549395833,372.257894638526,294.93940977150004,87.52993909784897,2.691998891744618,0.0,25.58338539272569,0.0099246578704861,204.2600603453299,72.55678984258333
49,1300.5457465538193,332677.87267576385,335238.3350997222,1725.7935165791666,53.72660987375,0.0,0.0,0.0,4253.163138006597,29.05093361702257,150.9524507555382,58.23857192862674,1.113009458386632,0.0,25.907850953579864,-0.061416434766493,176.61525452149306,55.94488479300347
50,1299.988747601389,329483.8862612673,331198.4425050521,1733.2065507277778,57.49571757913021,84.38142539126737,0.0,0.0,4252.956563745312,966.83583593175,593.2470889847639,99.25470442648437,4.988501847780035,0.0,25.354094113564237,0.1553448222975694,187.8453139561111,72.78465042457292
51,1299.5263274343752,327752.7305099306,330668.0443231423,1726.97484650625,60.55120017263542,153.72588977559028,0.0,0.0,4245.694382822223,1741.3185556881945,964.022783799861,141.35759066743054,8.101706548454514,3589.4090684300345,24.705787151088543,0.3366366241876736,227.7615248358333,89.64290680623091
52,1300.168532183507,325664.15569965274,328223.3722146701,1733.3434169192708,63.4374767853368,153.08618885430556,0.0,0.0,4243.340440635243,1747.453419903993,952.9002470980382,142.16627671440972,8.226102274888715,3589.66119428125,24.66086932533229,0.328873248244618,227.68313342442707,91.66002984449652
53,1300.192678938368,332024.62002864585,335087.7393478993,1734.0631421909725,73.13795137872395,153.07146223916666,0.0,0.0,4240.73046817309,1748.4982612381946,952.315569465434,143.5092883927257,8.26104127225573,3589.547967193229,24.68515397874444,0.3293574330746527,227.47265628255207,96.0762281008611
54,1300.5261945947918,332473.61135907983,336186.0800977951,1728.6776255769096,77.04798550475174,153.6477770410243,0.0,0.0,4240.469609423264,1743.2788684699651,962.9894289537674,144.2241265459722,8.257834168606077,3589.321144993576,24.666123046257468,0.3384153568366319,227.2575717105556,98.67359426805037
55,1300.691941350868,331994.96889444446,336979.43497470487,1716.415891038889,76.39275087255209,154.85528443342014,0.0,0.0,4251.968427379166,1731.3365783880208,985.1947478523264,143.83763417010417,8.311992648977258,3589.3248166411454,24.61218627232639,0.358395484925,226.73932747375,98.43801435242534
